dataset,model,model_id,endpoint,CN_BalAcc,n_animals,n_sessions,source_status,source_manifest,aggregation_protocol_hash
CRCNS pvc-11,CEBRA,CEBRA_FLAT_LOGREG,T5,0.9810476190476191,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
CRCNS pvc-11,CEBRA,CEBRA_FLAT_LOGREG,B5,0.9885714285714285,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
CRCNS pvc-11,CEBRA,CEBRA_FLAT_LOGREG,J30-5,0.9060952380952382,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
CRCNS pvc-11,CEBRA,CEBRA_FLAT_LOGREG,Five-Missing Mean,0.9615428571428571,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
CRCNS pvc-11,CEBRA,CEBRA_FLAT_LOGREG,Five-Missing Worst,0.9060952380952382,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
CRCNS pvc-11,GRU-D,GRU_LIGHTWEIGHT,CLEAN,0.9504761904761905,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
CRCNS pvc-11,GRU-D,GRU_LIGHTWEIGHT,U30,0.013285714285714276,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
CRCNS pvc-11,GRU-D,GRU_LIGHTWEIGHT,SW-U30,0.013285714285714276,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
CRCNS pvc-11,GRU-D,GRU_LIGHTWEIGHT,T5,0.17985714285714283,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
CRCNS pvc-11,GRU-D,GRU_LIGHTWEIGHT,B5,0.1283333333333333,3,3,LOWER_LEVEL_REAGGREGATED,06_R4_SESSION_LEVEL_ENDPOINTS.csv;07_R4_ANIMAL_LEVEL_ENDPOINTS.csv,ececd76a66075072067e822c9327eea5f103ecb47c2b51206e505d46f2f3a969
