dataset,animal_id,endpoint,baseline,MMRVD_value,baseline_value,paired_difference
Allen VBN,544837,B5,TCN,0.9994465648360867,0.9524260894831631,0.04702047535292364
Allen VBN,546507,B5,TCN,0.9994198694706308,0.8200366905433902,0.17938317892724054
Allen VBN,563497,B5,TCN,0.9944543159925402,0.9027942892310372,0.09166002676150298
Allen VBN,567286,B5,TCN,0.9914331245177144,0.9570767417218793,0.03435638279583508
Allen VBN,570301,B5,TCN,0.9784703397979004,0.7597924572578273,0.21867788254007314
Allen VBN,506940,J30-5,TCN,0.9991670690442666,0.3372440975082509,0.6619229715360156
Allen VBN,510589,J30-5,TCN,0.998898237271213,0.41270263937075924,0.5861955979004537
Allen VBN,521466,J30-5,TCN,0.9987631845450068,0.620452924578833,0.37831025996617373
Allen VBN,524760,J30-5,TCN,0.9986489211692924,0.8594775401220156,0.13917138104727678
Allen VBN,524761,J30-5,TCN,0.9926806075035758,0.5522402628220289,0.4404403446815469
Allen VBN,527749,J30-5,TCN,0.9981510096984479,0.16161393032957244,0.8365370793688756
Allen VBN,531237,J30-5,TCN,0.9979740277071485,0.29982517050872437,0.6981488571984241
Allen VBN,544837,J30-5,TCN,0.9989257931471295,0.7796076015163192,0.21931819163081023
Allen VBN,546507,J30-5,TCN,0.9982916887277842,0.5137289573166861,0.48456273141109807
Allen VBN,563497,J30-5,TCN,0.9980374609906668,0.7263036380219277,0.27173382296873916
Allen VBN,567286,J30-5,TCN,0.998352571257627,0.8081930507518417,0.19015952050578533
Allen VBN,570301,J30-5,TCN,0.9906297436546767,0.5088416486630262,0.48178809499165054
Allen VBN,506940,Five-Missing Mean,TCN,0.9987201723336845,0.39150748604139396,0.6072126862922905
Allen VBN,510589,Five-Missing Mean,TCN,0.9988058072272606,0.5208751813659973,0.47793062586126334
Allen VBN,521466,Five-Missing Mean,TCN,0.998770617676659,0.7338860608697813,0.2648845568068777
Allen VBN,524760,Five-Missing Mean,TCN,0.9990423425103467,0.8964366346604156,0.10260570784993117
Allen VBN,524761,Five-Missing Mean,TCN,0.993184358321189,0.6794042376836049,0.3137801206375841
Allen VBN,527749,Five-Missing Mean,TCN,0.9989875226568232,0.2015328020805088,0.7974547205763144
Allen VBN,531237,Five-Missing Mean,TCN,0.9979446863870935,0.36680407429740136,0.6311406120896922
Allen VBN,544837,Five-Missing Mean,TCN,0.9994702591582177,0.8661378382909739,0.13333242086724384
Allen VBN,546507,Five-Missing Mean,TCN,0.9990284020265099,0.6688890355166743,0.33013936650983555
Allen VBN,563497,Five-Missing Mean,TCN,0.997728693708078,0.823161319458183,0.174567374249895
Allen VBN,567286,Five-Missing Mean,TCN,0.9971867157993636,0.8876615536590904,0.10952516214027319
Allen VBN,570301,Five-Missing Mean,TCN,0.9908780411676981,0.6549092339959153,0.3359688071717828
Allen VBN,506940,Five-Missing Worst,TCN,0.99689824647233,0.3177662237964733,0.6791320226758568
Allen VBN,510589,Five-Missing Worst,TCN,0.9975833746090441,0.38405752384474623,0.6135258507642979
Allen VBN,521466,Five-Missing Worst,TCN,0.9970128187361282,0.620452924578833,0.3765598941572952
Allen VBN,524760,Five-Missing Worst,TCN,0.9986489211692924,0.8594775401220156,0.13917138104727678
Allen VBN,524761,Five-Missing Worst,TCN,0.9912836884396283,0.5354885039674349,0.45579518447219347
Allen VBN,527749,Five-Missing Worst,TCN,0.9981510096984479,0.15282808047332608,0.8453229292251219
