dataset,endpoint,baseline,n_animals,mean_difference,median_difference,SD,min,max,CI_lower,CI_upper,positive_animal_count,analysis_type
CRCNS pvc-11,Five-Missing Mean,TCN,3,0.2530285714285713,0.2494857142857142,0.0425963589514218,0.21231428571428557,0.29728571428571426,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,Five-Missing Worst,TCN,3,0.35742857142857143,0.33471428571428563,0.05780703297371773,0.3144285714285715,0.42314285714285715,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,CLEAN,Transformer,3,0.04428571428571404,0.048571428571428266,0.014759984514122778,0.02785714285714258,0.05642857142857127,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,U30,Transformer,3,0.3039999999999999,0.270142857142857,0.0745116070947121,0.2524285714285712,0.38942857142857146,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,SW-U30,Transformer,3,0.3039999999999999,0.270142857142857,0.0745116070947121,0.2524285714285712,0.38942857142857146,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,T5,Transformer,3,0.09499999999999993,0.1191428571428571,0.053603038293418656,0.033571428571428585,0.13228571428571412,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,B5,Transformer,3,0.03619047619047618,0.029999999999999916,0.031178660066420824,0.008571428571428452,0.07000000000000017,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,J30-5,Transformer,3,0.38866666666666666,0.3709999999999999,0.0603294244608907,0.3391428571428571,0.45585714285714285,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,Five-Missing Mean,Transformer,3,0.2255714285714285,0.20334285714285705,0.05179592608674624,0.18859999999999988,0.28477142857142856,NA,NA,3,DESCRIPTIVE_SMALL_N
CRCNS pvc-11,Five-Missing Worst,Transformer,3,0.38866666666666666,0.3709999999999999,0.0603294244608907,0.3391428571428571,0.45585714285714285,NA,NA,3,DESCRIPTIVE_SMALL_N
