dataset,animal,model,severity_type,severity_value,severity_unit,CN_BalAcc,n_sessions_contributing
Allen VBN,570301,MM-RVD,UNIT,0.2,proportion,0.9960071652708725,1
Allen VBN,570301,MM-RVD,UNIT,0.3,proportion,0.995630323226445,1
Allen VBN,570301,MM-RVD,UNIT,0.4,proportion,0.9956883390012556,1
Allen VBN,570301,MM-RVD,UNIT,0.5,proportion,0.9940476470812865,1
Allen VBN,570301,SVM,CLEAN_REFERENCE,0.0,none,0.9725358182470059,1
Allen VBN,570301,SVM,TEMPORAL,2.0,bins,0.968248678217632,1
Allen VBN,570301,SVM,TEMPORAL,3.0,bins,0.964030722680804,1
Allen VBN,570301,SVM,TEMPORAL,5.0,bins,0.9511230821619499,1
Allen VBN,570301,SVM,TEMPORAL,7.0,bins,0.9199272576997057,1
Allen VBN,570301,SVM,TEMPORAL,10.0,bins,0.8562930271321216,1
Allen VBN,570301,SVM,UNIT,0.1,proportion,0.967460855689133,1
Allen VBN,570301,SVM,UNIT,0.2,proportion,0.9630121860437346,1
Allen VBN,570301,SVM,UNIT,0.3,proportion,0.9522874148075242,1
Allen VBN,570301,SVM,UNIT,0.4,proportion,0.9539199822901768,1
Allen VBN,570301,SVM,UNIT,0.5,proportion,0.9339529726825921,1
CRCNS pvc-11,monkey1,CEBRA,CLEAN_REFERENCE,0.0,none,0.9864285714285714,1
CRCNS pvc-11,monkey1,CEBRA,TEMPORAL,2.0,bins,0.9862857142857143,1
CRCNS pvc-11,monkey1,CEBRA,TEMPORAL,3.0,bins,0.9837142857142858,1
CRCNS pvc-11,monkey1,CEBRA,TEMPORAL,5.0,bins,0.9631428571428572,1
CRCNS pvc-11,monkey1,CEBRA,TEMPORAL,7.0,bins,0.9574285714285715,1
CRCNS pvc-11,monkey1,CEBRA,TEMPORAL,10.0,bins,0.9092857142857144,1
CRCNS pvc-11,monkey1,CEBRA,UNIT,0.1,proportion,0.9844285714285714,1
CRCNS pvc-11,monkey1,CEBRA,UNIT,0.2,proportion,0.976,1
CRCNS pvc-11,monkey1,CEBRA,UNIT,0.3,proportion,0.9575714285714285,1
CRCNS pvc-11,monkey1,CEBRA,UNIT,0.4,proportion,0.9228571428571429,1
CRCNS pvc-11,monkey1,CEBRA,UNIT,0.5,proportion,0.849,1
CRCNS pvc-11,monkey1,MM-RVD,CLEAN_REFERENCE,0.0,none,0.9785714285714284,1
CRCNS pvc-11,monkey1,MM-RVD,TEMPORAL,2.0,bins,0.9771428571428571,1
CRCNS pvc-11,monkey1,MM-RVD,TEMPORAL,3.0,bins,0.9635714285714286,1
CRCNS pvc-11,monkey1,MM-RVD,TEMPORAL,5.0,bins,0.9457142857142855,1
CRCNS pvc-11,monkey1,MM-RVD,TEMPORAL,7.0,bins,0.9421428571428571,1
CRCNS pvc-11,monkey1,MM-RVD,TEMPORAL,10.0,bins,0.9142857142857143,1
CRCNS pvc-11,monkey1,MM-RVD,UNIT,0.1,proportion,0.9721428571428572,1
CRCNS pvc-11,monkey1,MM-RVD,UNIT,0.2,proportion,0.9585714285714285,1
CRCNS pvc-11,monkey1,MM-RVD,UNIT,0.3,proportion,0.9528571428571426,1
CRCNS pvc-11,monkey1,MM-RVD,UNIT,0.4,proportion,0.9485714285714286,1
CRCNS pvc-11,monkey1,MM-RVD,UNIT,0.5,proportion,0.9321428571428572,1
CRCNS pvc-11,monkey2,CEBRA,CLEAN_REFERENCE,0.0,none,0.9914285714285713,1
CRCNS pvc-11,monkey2,CEBRA,TEMPORAL,2.0,bins,0.9895714285714285,1
CRCNS pvc-11,monkey2,CEBRA,TEMPORAL,3.0,bins,0.9884285714285715,1
CRCNS pvc-11,monkey2,CEBRA,TEMPORAL,5.0,bins,0.9847142857142858,1
CRCNS pvc-11,monkey2,CEBRA,TEMPORAL,7.0,bins,0.9805714285714286,1
CRCNS pvc-11,monkey2,CEBRA,TEMPORAL,10.0,bins,0.9501428571428573,1
CRCNS pvc-11,monkey2,CEBRA,UNIT,0.1,proportion,0.9888571428571428,1
CRCNS pvc-11,monkey2,CEBRA,UNIT,0.2,proportion,0.9788571428571429,1
CRCNS pvc-11,monkey2,CEBRA,UNIT,0.3,proportion,0.9504285714285714,1
CRCNS pvc-11,monkey2,CEBRA,UNIT,0.4,proportion,0.9345714285714285,1
CRCNS pvc-11,monkey2,CEBRA,UNIT,0.5,proportion,0.8071428571428572,1
CRCNS pvc-11,monkey2,MM-RVD,CLEAN_REFERENCE,0.0,none,0.9964285714285712,1
CRCNS pvc-11,monkey2,MM-RVD,TEMPORAL,2.0,bins,0.9949999999999999,1
CRCNS pvc-11,monkey2,MM-RVD,TEMPORAL,3.0,bins,0.9935714285714285,1
CRCNS pvc-11,monkey2,MM-RVD,TEMPORAL,5.0,bins,0.9864285714285714,1
CRCNS pvc-11,monkey2,MM-RVD,TEMPORAL,7.0,bins,0.9835714285714285,1
CRCNS pvc-11,monkey2,MM-RVD,TEMPORAL,10.0,bins,0.975,1
CRCNS pvc-11,monkey2,MM-RVD,UNIT,0.1,proportion,0.9935714285714285,1
CRCNS pvc-11,monkey2,MM-RVD,UNIT,0.2,proportion,0.9864285714285714,1
CRCNS pvc-11,monkey2,MM-RVD,UNIT,0.3,proportion,0.9764285714285714,1
CRCNS pvc-11,monkey2,MM-RVD,UNIT,0.4,proportion,0.9764285714285714,1
CRCNS pvc-11,monkey2,MM-RVD,UNIT,0.5,proportion,0.945,1
CRCNS pvc-11,monkey3,CEBRA,CLEAN_REFERENCE,0.0,none,0.9949999999999999,1
CRCNS pvc-11,monkey3,CEBRA,TEMPORAL,2.0,bins,0.9959999999999999,1
CRCNS pvc-11,monkey3,CEBRA,TEMPORAL,3.0,bins,0.9959999999999999,1
CRCNS pvc-11,monkey3,CEBRA,TEMPORAL,5.0,bins,0.9952857142857143,1
CRCNS pvc-11,monkey3,CEBRA,TEMPORAL,7.0,bins,0.9897142857142857,1
CRCNS pvc-11,monkey3,CEBRA,TEMPORAL,10.0,bins,0.9772857142857143,1
CRCNS pvc-11,monkey3,CEBRA,UNIT,0.1,proportion,0.9944285714285712,1
CRCNS pvc-11,monkey3,CEBRA,UNIT,0.2,proportion,0.9928571428571427,1
CRCNS pvc-11,monkey3,CEBRA,UNIT,0.3,proportion,0.9899999999999999,1
CRCNS pvc-11,monkey3,CEBRA,UNIT,0.4,proportion,0.9691428571428572,1
CRCNS pvc-11,monkey3,CEBRA,UNIT,0.5,proportion,0.9182857142857144,1
CRCNS pvc-11,monkey3,MM-RVD,CLEAN_REFERENCE,0.0,none,0.9964285714285712,1
CRCNS pvc-11,monkey3,MM-RVD,TEMPORAL,2.0,bins,0.997142857142857,1
CRCNS pvc-11,monkey3,MM-RVD,TEMPORAL,3.0,bins,0.9985714285714284,1
CRCNS pvc-11,monkey3,MM-RVD,TEMPORAL,5.0,bins,0.9985714285714284,1
CRCNS pvc-11,monkey3,MM-RVD,TEMPORAL,7.0,bins,0.9942857142857143,1
CRCNS pvc-11,monkey3,MM-RVD,TEMPORAL,10.0,bins,0.9928571428571427,1
CRCNS pvc-11,monkey3,MM-RVD,UNIT,0.1,proportion,0.997142857142857,1
